Fecha asiento;Documento;Concepto;Debe;Haber
07/09/2026;OP-202609-01562;Cobro cliente;2.549,07;
07/09/2026;OP-202609-01578;Cobro cliente;2.161,60;
08/09/2026;;Cobro cliente;2.960,57;
08/09/2026;OP-202609-01434;Proveedor;;1.299,49
08/09/2026;OP-202609-01442;Proveedor;;1.289,59
08/09/2026;OP-202609-01449;Proveedor;;1.481,14
08/09/2026;OP-202609-01456;Proveedor;;1.159,48
08/09/2026;OP-202609-01478;Proveedor;;774,60
08/09/2026;OP-202609-01507;Cobro cliente;1.221,09;
08/09/2026;OP-202609-01523;Cobro cliente;2.315,02;
08/09/2026;OP-202609-01575;Cobro cliente;2.965,99;
09/09/2026;;Proveedor;;1.172,62
09/09/2026;;Proveedor;;407,16
09/09/2026;OP-202609-01428;Proveedor;;1.058,55
09/09/2026;OP-202609-01498;Proveedor;;1.423,43
09/09/2026;OP-202609-01499;Proveedor;;933,77
09/09/2026;OP-202609-01538;Cobro cliente;2.088,50;
09/09/2026;OP-202609-01548;Cobro cliente;1.835,39;
09/09/2026;OP-202609-01580;Cobro cliente;2.553,45;
09/09/2026;OP-202609-01586;Cobro cliente;2.073,81;
10/09/2026;;Proveedor;;1.421,70
10/09/2026;OP-202609-01369;Proveedor;;1.149,07
10/09/2026;OP-202609-01394;Proveedor;;1.509,99
10/09/2026;OP-202609-01451;Proveedor;;580,35
10/09/2026;OP-202609-01496;Proveedor;;983,30
10/09/2026;OP-202609-01503;Cobro cliente;601,50;
10/09/2026;OP-202609-01564;Cobro cliente;2.579,43;
10/09/2026;OP-202609-01570;Cobro cliente;1.862,69;
10/09/2026;OP-202609-01571;Cobro cliente;2.109,66;
10/09/2026;OP-202609-01573;Cobro cliente;1.301,97;
10/09/2026;OP-202609-01584;Cobro cliente;2.229,23;
11/09/2026;;Proveedor;;1.287,55
11/09/2026;OP-202609-01377;Proveedor;;722,96
11/09/2026;OP-202609-01390;Proveedor;;725,95
11/09/2026;OP-202609-01391;Proveedor;;1.279,64
11/09/2026;OP-202609-01427;Proveedor;;1.271,35
11/09/2026;OP-202609-01433;Proveedor;;845,60
11/09/2026;OP-202609-01463;Proveedor;;918,92
11/09/2026;OP-202609-01476;Proveedor;;728,53
11/09/2026;OP-202609-01495;Proveedor;;1.331,34
11/09/2026;OP-202609-01521;Cobro cliente;967,40;
11/09/2026;OP-202609-01556;Cobro cliente;2.141,65;
11/09/2026;OP-202609-01585;Cobro cliente;2.160,33;
11/09/2026;OP-202609-01607;Transferencia recibida;45.000,00;
12/09/2026;;Proveedor;;952,01
12/09/2026;OP-202609-01365;Proveedor;;798,98
12/09/2026;OP-202609-01425;Proveedor;;1.480,36
12/09/2026;OP-202609-01511;Cobro cliente;1.534,41;
12/09/2026;OP-202609-01561;Cobro cliente;1.851,22;
12/09/2026;OP-202609-01608;Transferencia a tercero;;20.000,00
13/09/2026;;Proveedor;;856,14
13/09/2026;;Proveedor;;1.785,96
13/09/2026;;Proveedor;;1.252,42
13/09/2026;OP-202609-01483;Proveedor;;1.026,73
13/09/2026;OP-202609-01502;Cobro cliente;2.122,34;
13/09/2026;OP-202609-01527;Cobro cliente;2.671,28;
13/09/2026;OP-202609-01533;Cobro cliente;2.544,56;
13/09/2026;OP-202609-01542;Cobro cliente;1.341,63;
13/09/2026;OP-202609-01554;Cobro cliente;1.540,37;
13/09/2026;OP-202609-01574;Cobro cliente;1.468,40;
14/09/2026;;Proveedor;;1.047,50
14/09/2026;;Proveedor;;958,94
14/09/2026;OP-202609-01378;Proveedor;;645,50
14/09/2026;OP-202609-01401;Proveedor;;707,73
14/09/2026;OP-202609-01409;Proveedor;;755,08
14/09/2026;OP-202609-01465;Proveedor;;1.239,76
14/09/2026;OP-202609-01493;Proveedor;;904,90
14/09/2026;OP-202609-01522;Cobro cliente;2.601,33;
14/09/2026;OP-202609-01525;Cobro cliente;1.918,06;
14/09/2026;OP-202609-01609;Transferencia a tercero;;24.500,00
15/09/2026;;Proveedor;;996,09
15/09/2026;;Proveedor;;937,09
15/09/2026;OP-202609-01362;Proveedor;;830,50
15/09/2026;OP-202609-01379;Proveedor;;1.353,13
15/09/2026;OP-202609-01384;Proveedor;;1.498,27
15/09/2026;OP-202609-01400;Proveedor;;794,86
15/09/2026;OP-202609-01406;Proveedor;;1.158,37
15/09/2026;OP-202609-01413;Proveedor;;1.282,09
15/09/2026;OP-202609-01534;Cobro cliente;3.077,81;
15/09/2026;OP-202609-01540;Cobro cliente;1.036,53;
15/09/2026;OP-202609-01560;Cobro cliente;3.055,78;
16/09/2026;OP-202609-01435;Proveedor;;1.218,41
16/09/2026;OP-202609-01469;Proveedor;;1.358,95
16/09/2026;OP-202609-01491;Proveedor;;944,79
16/09/2026;OP-202609-01537;Cobro cliente;3.156,08;
16/09/2026;OP-202609-01566;Cobro cliente;3.889,73;
16/09/2026;OP-202609-01615;Asesoría;;7.000,00
17/09/2026;;Proveedor;;1.076,45
17/09/2026;OP-202609-01363;Proveedor;;1.092,75
17/09/2026;OP-202609-01426;Proveedor;;1.210,35
17/09/2026;OP-202609-01454;Proveedor;;1.635,60
17/09/2026;OP-202609-01473;Proveedor;;1.420,51
17/09/2026;OP-202609-01543;Cobro cliente;2.758,21;
17/09/2026;OP-202609-01549;Cobro cliente;2.493,05;
18/09/2026;;Proveedor;;1.232,83
18/09/2026;OP-202609-01373;Proveedor;;1.542,22
18/09/2026;OP-202609-01374;Proveedor;;1.282,96
18/09/2026;OP-202609-01421;Proveedor;;1.169,81
18/09/2026;OP-202609-01484;Proveedor;;999,97
18/09/2026;OP-202609-01625;Pago fraccionado;;331,25
18/09/2026;OP-202609-01629;Pago fraccionado;;359,25
18/09/2026;OP-202609-01631;Pago fraccionado;;373,25
19/09/2026;;Pago fraccionado;;324,25
19/09/2026;OP-202609-01371;Proveedor;;1.015,21
19/09/2026;OP-202609-01382;Proveedor;;1.219,73
19/09/2026;OP-202609-01422;Proveedor;;900,94
19/09/2026;OP-202609-01479;Proveedor;;1.232,44
19/09/2026;OP-202609-01530;Cobro cliente;2.261,93;
19/09/2026;OP-202609-01535;Cobro cliente;3.077,68;
19/09/2026;OP-202609-01622;Pago fraccionado;;310,25
19/09/2026;OP-202609-01626;Pago fraccionado;;338,25
19/09/2026;OP-202609-01633;Pago fraccionado;;387,25
20/09/2026;OP-202609-01361;Proveedor;;988,74
20/09/2026;OP-202609-01417;Proveedor;;953,78
20/09/2026;OP-202609-01429;Proveedor;;1.332,54
20/09/2026;OP-202609-01623;Pago fraccionado;;317,25
20/09/2026;OP-202609-01627;Pago fraccionado;;345,25
20/09/2026;OP-202609-01628;Pago fraccionado;;352,25
20/09/2026;OP-202609-01630;Pago fraccionado;;366,25
20/09/2026;OP-202609-01632;Pago fraccionado;;380,25
21/09/2026;OP-202609-01364;Proveedor;;1.077,70
21/09/2026;OP-202609-01392;Proveedor;;1.102,38
21/09/2026;OP-202609-01397;Proveedor;;1.213,35
21/09/2026;OP-202609-01408;Proveedor;;1.272,99
21/09/2026;OP-202609-01419;Proveedor;;497,63
21/09/2026;OP-202609-01444;Proveedor;;841,30
21/09/2026;OP-202609-01467;Proveedor;;767,11
21/09/2026;OP-202609-01500;Proveedor;;1.046,36
21/09/2026;OP-202609-01531;Cobro cliente;2.519,66;
22/09/2026;OP-202609-01368;Proveedor;;1.044,42
22/09/2026;OP-202609-01381;Proveedor;;1.078,70
22/09/2026;OP-202609-01395;Proveedor;;1.048,87
22/09/2026;OP-202609-01457;Proveedor;;954,56
22/09/2026;OP-202609-01494;Proveedor;;1.312,08
22/09/2026;OP-202609-01563;Cobro cliente;2.800,40;
22/09/2026;OP-202609-01590;Cobro cliente;2.792,82;
22/09/2026;TRF-889120;Transferencia sin justificar;;2.500,00
23/09/2026;;Proveedor;;1.230,68
23/09/2026;OP-202609-01468;Proveedor;;1.373,92
23/09/2026;OP-202609-01470;Proveedor;;1.265,98
23/09/2026;OP-202609-01472;Proveedor;;1.129,02
24/09/2026;OP-202609-01380;Proveedor;;598,49
24/09/2026;OP-202609-01450;Proveedor;;703,00
24/09/2026;OP-202609-01544;Cobro cliente;1.343,98;
24/09/2026;OP-202609-01550;Cobro cliente;2.908,87;
24/09/2026;OP-202609-01568;Cobro cliente;2.689,69;
24/09/2026;OP-202609-01581;Cobro cliente;2.204,14;
24/09/2026;OP-202609-01588;Cobro cliente;2.131,13;
25/09/2026;OP-202609-01386;Proveedor;;771,66
25/09/2026;OP-202609-01399;Proveedor;;1.020,77
25/09/2026;OP-202609-01416;Proveedor;;967,45
25/09/2026;OP-202609-01438;Proveedor;;936,18
25/09/2026;OP-202609-01453;Proveedor;;1.218,84
25/09/2026;OP-202609-01462;Proveedor;;1.247,30
25/09/2026;OP-202609-01508;Cobro cliente;2.357,31;
25/09/2026;OP-202609-01565;Cobro cliente;1.316,73;
25/09/2026;OP-202609-01583;Cobro cliente;1.698,82;
25/09/2026;OP-202609-01587;Cobro cliente;2.828,83;
26/09/2026;;Proveedor;;1.574,01
26/09/2026;OP-202609-01385;Proveedor;;969,03
26/09/2026;OP-202609-01412;Proveedor;;874,68
26/09/2026;OP-202609-01461;Proveedor;;603,01
26/09/2026;OP-202609-01477;Proveedor;;1.345,83
26/09/2026;OP-202609-01487;Proveedor;;1.428,02
26/09/2026;OP-202609-01514;Cobro cliente;2.678,61;
26/09/2026;OP-202609-01518;Cobro cliente;1.280,76;
26/09/2026;OP-202609-01520;Cobro cliente;1.251,13;
26/09/2026;OP-202609-01524;Cobro cliente;2.130,44;
26/09/2026;OP-202609-01557;Cobro cliente;1.606,54;
26/09/2026;OP-202609-01582;Cobro cliente;1.382,10;
27/09/2026;;Proveedor;;878,32
27/09/2026;OP-202609-01336;Nómina;;2.851,06
27/09/2026;OP-202609-01343;Nómina;;2.477,88
27/09/2026;OP-202609-01345;Nómina;;2.350,51
27/09/2026;OP-202609-01349;Nómina;;2.592,97
27/09/2026;OP-202609-01350;Nómina;;2.589,52
27/09/2026;OP-202609-01351;Nómina;;2.092,81
27/09/2026;OP-202609-01352;Nómina;;1.810,30
27/09/2026;OP-202609-01358;Nómina;;2.037,11
27/09/2026;OP-202609-01415;Proveedor;;1.303,59
27/09/2026;OP-202609-01492;Proveedor;;1.068,62
27/09/2026;OP-202609-01509;Cobro cliente;2.409,82;
27/09/2026;OP-202609-01552;Cobro cliente;2.156,82;
27/09/2026;OP-202609-01555;Cobro cliente;2.689,26;
27/09/2026;OP-202609-01572;Cobro cliente;2.577,93;
27/09/2026;OP-202609-01576;Cobro cliente;2.084,36;
28/09/2026;;Proveedor;;1.400,59
28/09/2026;OP-202609-01337;Nómina;;2.635,71
28/09/2026;OP-202609-01347;Nómina;;2.905,53
28/09/2026;OP-202609-01348;Nómina;;2.584,19
28/09/2026;OP-202609-01353;Nómina;;3.044,64
28/09/2026;OP-202609-01354;Nómina;;2.321,88
28/09/2026;OP-202609-01355;Nómina;;3.051,93
28/09/2026;OP-202609-01357;Nómina;;2.206,84
28/09/2026;OP-202609-01360;Nómina;;1.901,51
28/09/2026;OP-202609-01443;Proveedor;;1.151,12
28/09/2026;OP-202609-01448;Proveedor;;1.616,67
28/09/2026;OP-202609-01460;Proveedor;;578,39
28/09/2026;OP-202609-01536;Cobro cliente;2.803,16;
28/09/2026;OP-202609-01546;Cobro cliente;2.100,43;
28/09/2026;OP-202609-01551;Cobro cliente;2.428,02;
28/09/2026;OP-202609-01559;Cobro cliente;2.025,40;
29/09/2026;;Nómina;;2.542,34
29/09/2026;;Nómina;;3.071,04
29/09/2026;;Cobro cliente;2.480,44;
29/09/2026;OP-202609-01339;Nómina;;1.821,41
29/09/2026;OP-202609-01340;Nómina;;1.884,83
29/09/2026;OP-202609-01341;Nómina;;2.729,69
29/09/2026;OP-202609-01344;Nómina;;2.640,95
29/09/2026;OP-202609-01346;Nómina;;2.664,40
29/09/2026;OP-202609-01356;Nómina;;2.572,30
29/09/2026;OP-202609-01424;Proveedor;;789,09
29/09/2026;OP-202609-01464;Proveedor;;1.015,55
29/09/2026;OP-202609-01504;Cobro cliente;1.672,22;
29/09/2026;OP-202609-01547;Cobro cliente;2.386,68;
29/09/2026;OP-202609-01553;Cobro cliente;1.556,50;
30/09/2026;;Comisión mantenimiento cuenta;;15,00
30/09/2026;OP-202609-01370;Proveedor;;1.487,29
30/09/2026;OP-202609-01432;Proveedor;;781,78
30/09/2026;AJ-1;Ajuste mal registrado;100,00;100,00
